category,term
variable,HOREASPR
variable,HOREASPS
variable,HOREASRT
variable,HOREASRX
variable,HOREASSY
variable,HOREFID
variable,HOSCAT
variable,HOSEQ
variable,HOSPID
variable,HOSTAT
variable,HOSTDTC
variable,HOSTDY
variable,HOSTRTPT
variable,HOSTTPT
variable,HOTERM
variable,ICFVN
variable,IDVAR
variable,IDVARVAL
variable,IECAT
variable,IEDTC
variable,IEDY
variable,IEORRES
variable,IESCAT
variable,IESEQ
variable,IESPID
variable,IESTRESC
variable,IETEST
variable,IETESTCD
variable,IGDCMPID
variable,INVID
variable,INVNAM
variable,IRRADIND
variable,ISANMETH
variable,ISBDAGNT
variable,ISBLFL
variable,ISCAT
variable,ISCLSIG
variable,ISCNDAGT
variable,ISCOLSRT
variable,ISCSREAS
variable,ISDIR
variable,ISDRVFL
variable,ISDTC
variable,ISDY
variable,ISELTM
variable,ISENDTC
variable,ISENDY
variable,ISEVAL
variable,ISEVALID
variable,ISFAST
variable,ISGRPID
variable,ISLAT
variable,ISLLOD
variable,ISLLOQ
variable,ISLOBXFL
variable,ISLOC
variable,ISLOINC
variable,ISMETHOD
variable,ISMSCBCE
variable,ISNAM
variable,ISNRIND
variable,ISORNRHI
variable,ISORNRLO
variable,ISORRES
variable,ISORRESU
variable,ISPDUR
variable,ISPOS
variable,ISPTFL
variable,ISREASND
variable,ISREFID
variable,ISRESCAT
variable,ISRESSCL
variable,ISRESTYP
variable,ISRFTDTC
variable,ISSCAT
variable,ISSEQ
variable,ISSPCCND
variable,ISSPCUFL
variable,ISSPEC
variable,ISSPEC1
variable,ISSPEC2
variable,ISSPID
variable,ISSTAT
variable,ISSTNRC
variable,ISSTNRHI
variable,ISSTNRLO
variable,ISSTRESC
variable,ISSTRESN
variable,ISSTRESU
variable,ISTEST
variable,ISTESTCD
variable,ISTMTHSN
variable,ISTPT
variable,ISTPTNUM
variable,ISTPTREF
variable,ISTSTCND
variable,ISTSTDTL
variable,ISTSTOPO
variable,LBANMETH
variable,LBBDAGNT
variable,LBBLFL
variable,LBCAT
variable,LBCLSIG
variable,LBCNDAGT
variable,LBCOLSRT
variable,LBCSREAS
variable,LBDICT
variable,LBDRVFL
variable,LBDTC
variable,LBDUR
variable,LBDY
variable,LBELTM
variable,LBENDTC
variable,LBENDY
variable,LBFAST
variable,LBGRPID
variable,LBLLOD
variable,LBLLOQ
variable,LBLOBXFL
variable,LBLOC
variable,LBLOINC
variable,LBMETHOD
variable,LBMPDICT
variable,LBNAM
variable,LBNRIND
variable,LBORNRHI
variable,LBORNRLO
variable,LBORRES
variable,LBORRESU
variable,LBPDUR
variable,LBPOS
variable,LBPTFL
variable,LBREASND
variable,LBREFID
variable,LBREPNUM
variable,LBRESCAT
variable,LBRESSCL
variable,LBRESTYP
variable,LBRFTDTC
variable,LBSCAT
variable,LBSEQ
variable,LBSITE
variable,LBSPCCND
variable,LBSPCUFL
variable,LBSPEC
variable,LBSPEC1
variable,LBSPEC2
variable,LBSPID
variable,LBSTAT
variable,LBSTNRC
variable,LBSTNRHI
variable,LBSTNRLO
variable,LBSTRESC
variable,LBSTRESN
variable,LBSTRESU
variable,LBSTRSN2
variable,LBSTRSU2
variable,LBTEST
variable,LBTESTCD
variable,LBTMTHSN
variable,LBTOX
variable,LBTOXGR
variable,LBTOXH
variable,LBTOXL
variable,LBTPT
variable,LBTPTNUM
variable,LBTPTREF
variable,LBTSTCND
variable,LBTSTDTL
variable,LBTSTOPO
variable,LEVEL
variable,LVLDESC
variable,MAAE
